DATE,Category,Crime,City,State,Zip.Code,Agency,Place,add_num,street,street2,street_type
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Street - Residential,10500,MONTROSE,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20876,MCPD,Parking Lot - Residential,20200,HALETHORPE,,LA
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20874,MCPD,Parking Lot - Residential,13400,DEMETRIAS,,WAY
2021,Crime Against Property,Motor Vehicle Theft,KENSINGTON,MD,20895,MCPD,Street - Residential,4100,WARNER,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Parking Lot - Residential,14100,GRAND PRE,,RD
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20877,MCPD,Parking Garage - Residential,200,FAIRBANKS,,DR
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Street - Residential,900,WILD FOREST,,DR
2021,Crime Against Property,Motor Vehicle Theft,KENSINGTON,MD,20895,MCPD,Residence - Driveway,4300,GLENRIDGE,,ST
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,MCPD,Parking Lot - Residential,1700,JEFFERSON,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Residential,8700,SUNDALE,,DR
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Residence - Driveway,12800,HUNTSMAN,,WAY
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Other,8000,13TH,,ST
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,MCPD,Residence - Driveway,1700,WILMART,,ST
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Parking Garage - Residential,9300,CORPORATE,,BLV
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Parking Lot - Residential,14000,CASTLE,,BLV
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,MCPD,Residence - Driveway,6200,POINDEXTER,,LA
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Parking Lot - Residential,20100,ROTHBURY,,LA
2021,Crime Against Property,Motor Vehicle Theft,OLNEY,MD,20832,MCPD,Gas Station,18000,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Street - Residential,19300,SANDY LAKE,,DR
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,GPD,Residence - Driveway,400,LEANING OAK,,ST
2021,Crime Against Property,Motor Vehicle Theft,CHEVY CHASE,MD,20815,MCPD,Residence - Driveway,3500,TAYLOR,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Residential,8700,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,OLNEY,MD,20832,MCPD,Parking Lot - Residential,3400,HOMELAND,,TER
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Commercial,8200,SNOUFFER SCHOOL,,RD
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Residence - Driveway,8800,LIBERTY,,LA
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Street - Residential,2900,HICKORY LEAF,,WAY
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,RCPD,Gas Station,700,GAITHER,,RD
2021,Crime Against Property,Motor Vehicle Theft,TAKOMA PARK,MD,20912,TPPD,Residence - Single Family,1100,MERWOOD,,DR
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20852,RCPD,Parking Lot - Residential,200,CONGRESSIONAL,,LA
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,GPD,Residence - Driveway,900,FEATHERSTONE,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Residential,2400,LYTTONSVILLE,,RD
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Parking Lot - Commercial,2500,RESEARCH,,BLV
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20877,MCPD,Parking Lot - Commercial,600,FREDERICK,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20876,MCPD,Parking Lot - Commercial,21000,FREDERICK,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Residence - Carport,13100,MATEY,,RD
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Street - Residential,1500,BLUE MEADOW,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20817,MCPD,Residence - Driveway,6700,SELKIRK,,DR
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Residential,8900,CENTERWAY,,RD
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Parking Lot - School,13300,ARCTIC,,AVE
