Job Title,Location,Salary,Job requirements,Focus,Days open,Title1,Company,Location1,Salary2
IOS Reverse Engineer(MD-FSP),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,IOS Reverse Engineer(MD-FSP),Management Science and Solutions,"Hanover, MD",$160K - $221K (Employer est.)
Cyber Security Engineer SME L4 - Cloud Environment,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Security Engineer SME L4 - Cloud Environment,P3S Corporation3.2 ★,"Washington, DC",$150K - $162K (Employer est.)
Cyber Detection and Response Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Detection and Response Analyst,ManTech International Corporation4.3 ★,"McLean, VA",$71K - $112K (Glassdoor est.)
Sr. Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Sr. Security Engineer,Marathon TS4.0 ★,"Washington, DC",$150K (Employer est.)
Web Developer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Web Developer,"Trinity Global Consulting, LLC5.0 ★","Washington, DC",$140K (Employer est.)
Cyber Security Engineer (Up to 25% Profit Sharing Benefit!),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Security Engineer (Up to 25% Profit Sharing Benefit!),CACI3.9 ★,"Sterling, VA",
DevOps Engineer - TS Clearance Required,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,DevOps Engineer - TS Clearance Required,Eighty20 Collective,"Chantilly, VA",$95K (Employer est.)
Federal - SailPoint SME,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Federal - SailPoint SME,,"Arlington, VA",
Technical Security Engineer - TS (Hybrid Position),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Technical Security Engineer - TS (Hybrid Position),,"Bethesda, MD",$150K - $180K (Employer est.)
Cyber Network Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Network Security Engineer,,"Chantilly, VA",
